,Unnamed: 0,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,Unnamed: 0.1,distance,datetime,date,time,lat,lng
1026,45.0,102.0,dublin,WESTERN WAY,Western Way,"{'lat': 53.354929, 'lng': -6.269425}",FALSE,FALSE,40,32,7,OPEN,1619165417000,45.0,,,,,,
1027,46.0,38.0,dublin,TALBOT STREET,Talbot Street,"{'lat': 53.350974, 'lng': -6.25294}",FALSE,FALSE,40,20,20,OPEN,1619165343000,46.0,,,,,,
1028,47.0,53.0,dublin,NEWMAN HOUSE,Newman House,"{'lat': 53.337132, 'lng': -6.26059}",FALSE,FALSE,40,28,12,OPEN,1619165527000,47.0,,,,,,
1029,48.0,58.0,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,"{'lat': 53.339218, 'lng': -6.240642}",FALSE,FALSE,40,24,16,OPEN,1619165454000,48.0,,,,,,
1030,49.0,66.0,dublin,NEW CENTRAL BANK,New Central Bank,"{'lat': 53.347122, 'lng': -6.234749}",FALSE,FALSE,40,10,29,OPEN,1619165203000,49.0,,,,,,
1031,50.0,104.0,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),"{'lat': 53.355173, 'lng': -6.278424}",FALSE,FALSE,40,38,2,OPEN,1619164953000,50.0,,,,,,
1032,51.0,101.0,dublin,KING STREET NORTH,King Street North,"{'lat': 53.350291, 'lng': -6.273507}",FALSE,FALSE,30,20,10,OPEN,1619165453000,51.0,,,,,,
1033,52.0,115.0,dublin,KILLARNEY STREET,Killarney Street,"{'lat': 53.354845, 'lng': -6.247579}",FALSE,FALSE,30,16,14,OPEN,1619165552000,52.0,,,,,,
1034,53.0,47.0,dublin,HERBERT STREET,Herbert Street,"{'lat': 53.335742, 'lng': -6.24551}",FALSE,FALSE,40,36,4,OPEN,1619165421000,53.0,,,,,,
1035,54.0,117.0,dublin,HANOVER QUAY EAST,Hanover Quay East,"{'lat': 53.343653, 'lng': -6.231755}",FALSE,FALSE,40,36,4,OPEN,1619165543000,54.0,,,,,,
1036,55.0,8.0,dublin,CUSTOM HOUSE QUAY,Custom House Quay,"{'lat': 53.347884, 'lng': -6.248048}",FALSE,FALSE,30,16,13,OPEN,1619165364000,55.0,,,,,,
1037,56.0,27.0,dublin,MOLESWORTH STREET,Molesworth Street,"{'lat': 53.341288, 'lng': -6.258117}",FALSE,FALSE,20,13,7,OPEN,1619165485000,56.0,,,,,,
1038,57.0,16.0,dublin,GEORGES QUAY,Georges Quay,"{'lat': 53.347508, 'lng': -6.252192}",FALSE,FALSE,20,7,13,OPEN,1619165129000,57.0,,,,,,
1039,58.0,96.0,dublin,KILMAINHAM LANE,Kilmainham Lane,"{'lat': 53.341805, 'lng': -6.305085}",FALSE,FALSE,30,21,9,OPEN,1619165208000,58.0,,,,,,
1040,59.0,82.0,dublin,MOUNT BROWN,Mount Brown,"{'lat': 53.341645, 'lng': -6.29719}",FALSE,FALSE,22,12,10,OPEN,1619165256000,59.0,,,,,,
1041,60.0,76.0,dublin,MARKET STREET SOUTH,Market Street South,"{'lat': 53.342296, 'lng': -6.287661}",FALSE,FALSE,38,14,24,OPEN,1619165339000,60.0,,,,,,
1042,61.0,71.0,dublin,KEVIN STREET,Kevin Street,"{'lat': 53.337757, 'lng': -6.267699}",FALSE,FALSE,40,37,3,OPEN,1619165335000,61.0,,,,,,
1043,62.0,79.0,dublin,ECCLES STREET EAST,Eccles Street East,"{'lat': 53.358115, 'lng': -6.265601}",FALSE,FALSE,27,11,15,OPEN,1619165008000,62.0,,,,,,
